"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 22:30:40 UTC 2025","Thu Jul 24 22:30:40 UTC 2025","716","ParallelTestSuite","TestExecution","tests.RegisterTest","tests.RegisterTest","testRegisterWithEmptyFields","Verify registration fails when required fields are empty",""
"passed","Thu Jul 24 22:31:07 UTC 2025","Thu Jul 24 22:31:15 UTC 2025","7461","ParallelTestSuite","TestExecution","tests.CheckoutTest","tests.CheckoutTest","testFullGuestCheckoutFlow","Verify that a guest user can complete the full checkout flow successfully",""
"passed","Thu Jul 24 22:30:45 UTC 2025","Thu Jul 24 22:30:46 UTC 2025","959","ParallelTestSuite","TestExecution","tests.RegisterTest","tests.RegisterTest","testRegisterWithShortPassword","Verify registration fails with a password shorter than allowed",""
"passed","Thu Jul 24 22:30:48 UTC 2025","Thu Jul 24 22:30:50 UTC 2025","1710","ParallelTestSuite","TestExecution","tests.RegisterTest","tests.RegisterTest","testValidRegistration","Verify that a user can register successfully with valid data",""
"passed","Thu Jul 24 22:31:24 UTC 2025","Thu Jul 24 22:31:27 UTC 2025","3170","ParallelTestSuite","TestExecution","tests.LoginTest","tests.LoginTest","testValidLogin","Verify that a registered user can log in successfully",""
"passed","Thu Jul 24 22:31:21 UTC 2025","Thu Jul 24 22:31:22 UTC 2025","984","ParallelTestSuite","TestExecution","tests.LoginTest","tests.LoginTest","testLoginWithNonExistentUser","Verify login fails with a non-registered user",""
"passed","Thu Jul 24 22:30:28 UTC 2025","Thu Jul 24 22:30:30 UTC 2025","1531","ParallelTestSuite","TestExecution","tests.CartTest","tests.CartTest","testAddProductToCartAndValidateItAppears","Verify that the correct product is added to the cart",""
"passed","Thu Jul 24 22:31:17 UTC 2025","Thu Jul 24 22:31:20 UTC 2025","2994","ParallelTestSuite","TestExecution","tests.LoginTest","tests.LoginTest","testLoginWithInvalidPassword","Verify login fails with incorrect password",""
"passed","Thu Jul 24 22:30:32 UTC 2025","Thu Jul 24 22:30:34 UTC 2025","1994","ParallelTestSuite","TestExecution","tests.CartTest","tests.CartTest","testRemoveProductFromCart","Verify that a user can remove a product from the cart",""
"passed","Thu Jul 24 22:30:36 UTC 2025","Thu Jul 24 22:30:38 UTC 2025","1909","ParallelTestSuite","TestExecution","tests.CartTest","tests.CartTest","testUpdateProductQuantityInCart","Verify that updating the quantity in the cart updates the subtotal",""
"passed","Thu Jul 24 22:30:55 UTC 2025","Thu Jul 24 22:31:05 UTC 2025","10278","ParallelTestSuite","TestExecution","tests.CheckoutTest","tests.CheckoutTest","testFullCheckoutFlowAsReturningCustomer","Verify that a registered user can complete the full checkout flow successfully",""
"passed","Thu Jul 24 22:30:42 UTC 2025","Thu Jul 24 22:30:43 UTC 2025","1011","ParallelTestSuite","TestExecution","tests.RegisterTest","tests.RegisterTest","testRegisterWithInvalidEmail","Verify registration fails with an invalid email format",""
"passed","Thu Jul 24 22:30:52 UTC 2025","Thu Jul 24 22:30:53 UTC 2025","1441","ParallelTestSuite","TestExecution","tests.CheckoutTest","tests.CheckoutTest","testCannotProceedWithoutAcceptingTerms","Verify that user cannot proceed to checkout without accepting terms and conditions",""
